date;concentration NGL (mgN/L)
26/05/2022;39.35940845
27/05/2022;38.5191041
28/05/2022;39.33894951
29/05/2022;40.85111859
30/05/2022;42.30512342
31/05/2022;43.70694951
01/06/2022;43.13382874
02/06/2022;43.18800265
03/06/2022;41.9443698
04/06/2022;29.66650506
05/06/2022;24.30700748
06/06/2022;31.46898816
07/06/2022;36.87325869
08/06/2022;18.19665872
09/06/2022;34.46689497
10/06/2022;40.8711041
11/06/2022;39.75817173
12/06/2022;41.59648387
13/06/2022;42.4818546
14/06/2022;42.00152501
15/06/2022;39.97378526
16/06/2022;39.22571248
17/06/2022;38.34961618
18/06/2022;36.78939395
19/06/2022;32.85427801
20/06/2022;21.56974568
21/06/2022;38.45570376
22/06/2022;38.60751005
23/06/2022;30.53920118
24/06/2022;27.68939395
25/06/2022;38.02741328
26/06/2022;40.07021661
27/06/2022;39.88779991
28/06/2022;39.98131214
29/06/2022;40.11235188
30/06/2022;25.49896774
01/07/2022;35.19954854
02/07/2022;39.14883357
03/07/2022;40.09254854
04/07/2022;40.64182874
05/07/2022;40.75281424
06/07/2022;41.38616207
07/07/2022;40.24969347
08/07/2022;40.8828384
09/07/2022;38.01107994
10/07/2022;40.1332297
11/07/2022;39.59521038
12/07/2022;37.6574954
13/07/2022;35.44738912
14/07/2022;35.5719012
15/07/2022;35.40806062
16/07/2022;34.95201231
17/07/2022;36.25965965
18/07/2022;35.53623142
19/07/2022;35.43592535
20/07/2022;26.64913308
21/07/2022;33.45551878
22/07/2022;34.8768384
23/07/2022;32.26252439
24/07/2022;35.97881424
25/07/2022;34.75800748
26/07/2022;35.4990268
27/07/2022;35.12166932
28/07/2022;36.03572729
29/07/2022;36.2698384
30/07/2022;34.4101041
31/07/2022;35.51170033
01/08/2022;34.83756989
02/08/2022;33.99279523
03/08/2022;31.82815241
04/08/2022;30.74991569
05/08/2022;21.00730217
06/08/2022;27.98528767
07/08/2022;31.1816609
08/08/2022;31.17349914
09/08/2022;33.07412186
10/08/2022;32.5496782
11/08/2022;31.27436699
12/08/2022;31.19506748
13/08/2022;30.37888188
14/08/2022;28.22741328
15/08/2022;24.70972511
16/08/2022;17.71402525
17/08/2022;17.7994019
18/08/2022;25.90146938
19/08/2022;29.37406062
20/08/2022;30.72614275
21/08/2022;29.34707511
22/08/2022;32.66719464
23/08/2022;34.6404834
24/08/2022;34.13871965
25/08/2022;34.84697849
26/08/2022;34.86517173
27/08/2022;35.54806062
28/08/2022;37.43055337
29/08/2022;38.63533115
30/08/2022;32.83135048
31/08/2022;39.13300748
01/09/2022;39.41892535
02/09/2022;36.78317173
03/09/2022;39.81954091
04/09/2022;40.96961134
05/09/2022;29.63184323
06/09/2022;27.80282952
07/09/2022;34.45579009
08/09/2022;31.52751675
09/09/2022;35.98567898
10/09/2022;28.98172246
11/09/2022;32.59406062
12/09/2022;38.25451566
